coordinate_id,constructor,search_stratum,round_robin_order,J_search
LEVEL_RATE(gasc|cerqrott6),C6,C6:GAS|CER,46,0.9478991705295841
LEVEL_RATE(gasc|bt),C6,C6:GAS|MAG,47,0.9529784117598982
LEVEL_RATE(gasc|pinj_33r),C6,C6:GAS|NBI,48,0.9524201951101169
LEVEL_RATE(ip|cerqtit3),C6,C6:MAG|CER,49,0.9447053297591458
LEVEL_RATE(ip|ece1),C6,C6:MAG|ECE,50,0.9492357902643117
LEVEL_RATE(ip|gasc),C6,C6:MAG|GAS,51,0.9536629324589276
LEVEL_RATE(ip|ip),C6,C6:MAG|MAG,52,0.9309355733258298
LEVEL_RATE(ip|pinj_33r),C6,C6:MAG|NBI,53,0.951538665566344
LEVEL_RATE(pinj_33r|cerqtit3),C6,C6:NBI|CER,54,0.9453797304441207
LEVEL_RATE(pinj|ece1),C6,C6:NBI|ECE,55,0.9504694711634233
LEVEL_RATE(tinj|gasc),C6,C6:NBI|GAS,56,0.953774934942958
LEVEL_RATE(tinj|ip),C6,C6:NBI|MAG,57,0.9510389589384044
LEVEL_RATE(pinj_30l|pinj_33r),C6,C6:NBI|NBI,58,0.9513847172839481
LEVEL_RATE(cerqrott12|cerqtit6),C6,C6:CER|CER,59,0.9334081259143036
LEVEL_RATE(cerqrott12|ece38),C6,C6:CER|ECE,60,0.9205082870824528
LEVEL_RATE(cerqrott10|gasc),C6,C6:CER|GAS,61,0.9535998705976247
LEVEL_RATE(cerqrott13|ip),C6,C6:CER|MAG,62,0.9375884630320951
LEVEL_RATE(cerqrott11|pinj_33r),C6,C6:CER|NBI,63,0.9523511254069911
LEVEL_RATE(prmtan_teped|cerqrott13),C6,C6:DEN|CER,64,0.956288182439152
LEVEL_RATE(prmtan_teped|pinj),C6,C6:DEN|NBI,65,0.9536761698394823
LEVEL_RATE(ece21|cerqtit3),C6,C6:ECE|CER,66,0.9463317299458514
LEVEL_RATE(ece16|ece25),C6,C6:ECE|ECE,67,0.9487022868806321
LEVEL_RATE(ece20|gasc),C6,C6:ECE|GAS,68,0.953565617255994
LEVEL_RATE(ece19|ip),C6,C6:ECE|MAG,69,0.9219745627869022
LEVEL_RATE(ece16|pinj_33r),C6,C6:ECE|NBI,70,0.9518552587002505
LEVEL_RATE(fs03da|pinj),C6,C6:FS|NBI,71,0.953796616270977
LEVEL_RATE(gasc|cerqrott8),C6,C6:GAS|CER,72,0.951800752727327
LEVEL_RATE(gasc|pinj_15l),C6,C6:GAS|NBI,73,0.9524543546007339
LEVEL_RATE(bt|cerqrott3),C6,C6:MAG|CER,74,0.945242958010975
LEVEL_RATE(bt|ece20),C6,C6:MAG|ECE,75,0.9524485926108095
LEVEL_RATE(bt|pinj_15l),C6,C6:MAG|NBI,76,0.9516348287605988
LEVEL_RATE(pinj_15l|cerqtit3),C6,C6:NBI|CER,77,0.9473469618841274
LEVEL_RATE(tinj|ece1),C6,C6:NBI|ECE,78,0.9507201721203488
LEVEL_RATE(pinj_15l|gasc),C6,C6:NBI|GAS,79,0.9539588880648361
LEVEL_RATE(pinj|bt),C6,C6:NBI|MAG,80,0.9540683815903453
LEVEL_RATE(pinj|pinj_33r),C6,C6:NBI|NBI,81,0.9517009851655891
LEVEL_RATE(cerqrott13|cerqrott3),C6,C6:CER|CER,82,0.9340117168129929
LEVEL_RATE(cerqrott13|ece35),C6,C6:CER|ECE,83,0.9214398112555787
