coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum
LEVEL_RATE(ece16|ece16),C6,ece16|ece16,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece18),C6,ece16|ece18,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece19),C6,ece16|ece19,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece20),C6,ece16|ece20,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece21),C6,ece16|ece21,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece22),C6,ece16|ece22,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece25),C6,ece16|ece25,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece27),C6,ece16|ece27,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece28),C6,ece16|ece28,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece29),C6,ece16|ece29,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece30),C6,ece16|ece30,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece31),C6,ece16|ece31,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece33),C6,ece16|ece33,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece35),C6,ece16|ece35,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece36),C6,ece16|ece36,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece37),C6,ece16|ece37,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece38),C6,ece16|ece38,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece39),C6,ece16|ece39,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|cerqrott3),C6,ece16|cerqrott3,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqrott6),C6,ece16|cerqrott6,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqrott8),C6,ece16|cerqrott8,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqrott10),C6,ece16|cerqrott10,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqrott11),C6,ece16|cerqrott11,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqrott12),C6,ece16|cerqrott12,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqrott13),C6,ece16|cerqrott13,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqtit3),C6,ece16|cerqtit3,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqtit6),C6,ece16|cerqtit6,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqtit8),C6,ece16|cerqtit8,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqtit10),C6,ece16|cerqtit10,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqtit11),C6,ece16|cerqtit11,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqtit12),C6,ece16|cerqtit12,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece16|cerqtit13),C6,ece16|cerqtit13,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece18|bt),C6,ece18|bt,level|rate,ECE|MAG,(level_family | rate_family),C6:ECE|MAG
LEVEL_RATE(ece18|ip),C6,ece18|ip,level|rate,ECE|MAG,(level_family | rate_family),C6:ECE|MAG
LEVEL_RATE(ece18|gasa),C6,ece18|gasa,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece18|gasb),C6,ece18|gasb,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
