realization_index,shot,tolerance,feature,coefficient,canonical_coefficient,delta
7,161136,1e-12,d[kappa]/d[t],1.4999512343024928,1.4999512343024959,-3.1086244689504383e-15
7,161136,1e-12,r[q95]/r[kappa],0.0001532892643809538,0.00015328926438008816,8.656270145124267e-16
7,161136,1e-12,d[pcdiamag3]/d[betan],1.411432221152228,1.4114322211522257,2.4424906541753444e-15
7,161136,1e-12,d[kappa]/d[betan],-1.8530227593250177,-1.8530227593250168,-8.881784197001252e-16
7,161136,1e-12,d[betan]/d[t],-0.5670818802912511,-0.5670818802912524,1.3322676295501878e-15
7,161136,1e-12,d[li]/d[betan],-0.0005868888153852045,-0.0005868888153849061,-2.983724378680108e-16
7,161136,1e-10,d[pcdiamag3]/d[kappa],0.2545058590149252,0.2545058590149285,-3.3306690738754696e-15
7,161136,1e-10,d[kappa]/d[t],1.4999512343024928,1.4999512343024959,-3.1086244689504383e-15
7,161136,1e-10,r[q95]/r[kappa],0.0001532892643809538,0.00015328926438008816,8.656270145124267e-16
7,161136,1e-10,d[pcdiamag3]/d[betan],1.411432221152228,1.4114322211522257,2.4424906541753444e-15
7,161136,1e-10,d[kappa]/d[betan],-1.8530227593250177,-1.8530227593250168,-8.881784197001252e-16
7,161136,1e-10,d[betan]/d[t],-0.5670818802912511,-0.5670818802912524,1.3322676295501878e-15
7,161136,1e-10,d[li]/d[betan],-0.0005868888153852045,-0.0005868888153849061,-2.983724378680108e-16
7,161136,1e-08,d[pcdiamag3]/d[kappa],0.2545058590149252,0.2545058590149285,-3.3306690738754696e-15
7,161136,1e-08,d[kappa]/d[t],1.4999512343024928,1.4999512343024959,-3.1086244689504383e-15
7,161136,1e-08,r[q95]/r[kappa],0.0001532892643809538,0.00015328926438008816,8.656270145124267e-16
7,161136,1e-08,d[pcdiamag3]/d[betan],1.411432221152228,1.4114322211522257,2.4424906541753444e-15
7,161136,1e-08,d[kappa]/d[betan],-1.8530227593250177,-1.8530227593250168,-8.881784197001252e-16
7,161136,1e-08,d[betan]/d[t],-0.5670818802912511,-0.5670818802912524,1.3322676295501878e-15
7,161136,1e-08,d[li]/d[betan],-0.0005868888153852045,-0.0005868888153849061,-2.983724378680108e-16
7,161136,1e-06,d[pcdiamag3]/d[kappa],0.2545058590149252,0.2545058590149285,-3.3306690738754696e-15
7,161136,1e-06,d[kappa]/d[t],1.4999512343024928,1.4999512343024959,-3.1086244689504383e-15
7,161136,1e-06,r[q95]/r[kappa],0.0001532892643809538,0.00015328926438008816,8.656270145124267e-16
7,161136,1e-06,d[pcdiamag3]/d[betan],1.411432221152228,1.4114322211522257,2.4424906541753444e-15
7,161136,1e-06,d[kappa]/d[betan],-1.8530227593250177,-1.8530227593250168,-8.881784197001252e-16
7,161136,1e-06,d[betan]/d[t],-0.5670818802912511,-0.5670818802912524,1.3322676295501878e-15
7,161136,1e-06,d[li]/d[betan],-0.0005868888153852045,-0.0005868888153849061,-2.983724378680108e-16
8,161138,1e-12,d[pcdiamag3]/d[kappa],0.18066753969710025,0.18066753969709892,1.3322676295501878e-15
8,161138,1e-12,d[kappa]/d[t],1.3726306220880968,1.3726306220880955,1.3322676295501878e-15
8,161138,1e-12,r[q95]/r[kappa],0.007953335802862593,0.007953335802862949,-3.5561831257524545e-16
8,161138,1e-12,d[pcdiamag3]/d[betan],1.4457593407725995,1.4457593407726024,-2.886579864025407e-15
